Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	H POS X [mm]	H POS Y [mm]	H POS Z [mm]	H ROT X [°]	H ROT Y [°]	H ROT Z [°]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
52952807	SMP	1	563.46	409.17	825.05	421.07	18.10	18.10	4.57	18.01	18.01	4.62	560.31	404.82	566.62	404.65	820.00	416.81	826.62	417.06	730.90	337.39	730.90	337.39	0	6437	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-17.47	24.47	579.65	42.05	21.80	582.51	0.01	0.23	-0.97	-0.11	0.23	-0.97	-1	
52960687	SMP	1	563.61	409.63	825.39	421.13	17.56	17.56	4.55	18.02	18.02	4.61	560.39	405.31	566.75	405.31	820.42	416.88	826.90	417.08	727.14	338.42	727.14	338.42	0	1649	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-17.44	24.34	579.67	42.06	21.75	581.62	0.00	0.22	-0.98	-0.11	0.23	-0.97	-1	
52969055	SMP	1	563.68	409.98	825.72	421.19	18.27	18.27	4.55	17.76	17.76	4.59	560.49	405.58	566.87	405.58	820.73	416.90	827.11	417.10	724.47	332.74	724.47	332.74	0	1829	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-17.42	24.28	579.68	42.10	21.74	581.39	0.01	0.23	-0.97	-0.12	0.23	-0.97	-1	
52977441	SMP	1	564.05	410.40	826.18	420.96	17.33	17.33	4.52	17.95	17.95	4.57	560.75	406.19	567.11	406.17	821.02	416.85	827.66	417.15	719.26	346.84	719.26	346.84	0	1695	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-17.36	24.15	579.70	42.06	21.67	579.51	0.00	0.22	-0.98	-0.12	0.22	-0.97	-1	
52986303	SMP	1	564.19	410.57	826.60	420.95	18.73	18.73	4.55	17.62	17.62	4.55	561.03	406.36	567.43	406.33	821.65	416.84	828.03	416.99	721.66	345.43	721.66	345.43	0	2671	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-17.30	24.11	579.71	42.18	21.69	579.51	0.01	0.22	-0.98	-0.11	0.22	-0.97	-1	
52994058	SMP	1	564.64	411.24	827.15	421.06	17.95	17.95	4.55	17.87	17.87	4.54	561.45	406.95	567.82	406.93	822.02	416.90	828.67	417.23	719.99	345.82	719.99	345.82	0	1792	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-17.20	23.97	579.73	42.17	21.59	577.84	0.01	0.22	-0.98	-0.12	0.22	-0.97	-1	
53002424	SMP	1	565.14	411.62	827.73	421.21	18.10	18.10	4.55	17.92	17.92	4.53	561.92	407.43	568.38	407.34	822.73	416.97	829.14	417.22	719.96	345.33	719.96	345.33	0	1708	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-17.07	23.85	579.18	42.28	21.57	577.48	0.01	0.22	-0.98	-0.12	0.22	-0.97	-1	
53010792	SMP	1	565.71	412.11	828.38	421.13	18.12	18.12	4.55	17.96	17.96	4.53	562.46	407.84	568.79	407.75	823.37	416.98	829.87	417.26	718.81	346.20	718.81	346.20	0	1612	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.96	23.76	579.25	42.41	21.55	577.15	0.00	0.22	-0.98	-0.12	0.22	-0.97	-1	
53019310	SMP	1	566.29	412.85	829.10	421.40	18.06	18.06	4.55	18.12	18.12	4.53	563.00	408.46	569.50	408.44	823.94	417.42	830.58	417.49	717.68	346.76	717.68	346.76	0	3147	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.81	23.59	578.76	42.45	21.43	575.74	0.00	0.23	-0.97	-0.12	0.21	-0.97	-1	
53027436	SMP	1	566.69	413.35	829.79	421.50	18.80	18.80	4.58	17.99	17.99	4.52	563.60	409.08	570.06	409.14	824.84	417.55	831.22	417.61	718.30	349.89	718.30	349.89	0	1813	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.66	23.42	578.32	42.66	21.41	576.17	0.01	0.22	-0.98	-0.12	0.21	-0.97	-1	
53035779	SMP	1	567.49	414.07	830.52	421.83	17.96	17.96	4.56	17.84	17.84	4.51	564.20	409.61	570.67	409.59	825.54	417.79	831.99	417.92	716.41	345.30	716.41	345.30	0	1598	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.51	23.29	577.93	42.81	21.34	575.99	0.00	0.23	-0.97	-0.12	0.22	-0.97	-1	
53044153	SMP	1	568.20	414.80	831.34	422.19	17.98	17.98	4.55	17.92	17.92	4.51	564.91	410.50	571.46	410.45	826.31	418.00	832.81	418.32	716.32	347.69	716.32	347.69	0	1856	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.32	23.06	577.02	42.98	21.27	575.83	0.00	0.22	-0.97	-0.12	0.22	-0.97	-1	
53052563	SMP	1	568.87	415.75	832.09	422.67	18.00	18.00	4.54	17.82	17.82	4.50	565.65	411.45	572.09	411.41	826.95	418.61	833.54	418.69	715.91	349.20	715.91	349.20	0	1703	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.15	22.83	576.78	43.08	21.13	575.13	0.00	0.22	-0.97	-0.12	0.22	-0.97	-1	
53060792	SMP	1	569.56	416.69	832.93	423.30	18.08	18.08	4.54	17.67	17.67	4.49	566.36	412.41	572.81	412.50	827.78	419.10	834.29	419.41	715.59	351.27	715.59	351.27	0	1678	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.99	22.59	576.56	43.26	20.99	575.07	0.01	0.22	-0.98	-0.12	0.22	-0.97	-1	
53069183	SMP	1	570.32	417.89	833.67	424.00	17.91	17.91	4.53	17.68	17.68	4.47	567.01	413.50	573.57	413.50	828.65	419.90	835.06	420.09	716.37	350.56	716.37	350.56	0	1848	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.81	22.33	575.81	43.44	20.82	575.01	0.00	0.23	-0.97	-0.12	0.22	-0.97	-1	
53077550	SMP	1	571.13	418.76	834.46	424.46	17.91	17.91	4.52	17.85	17.85	4.47	567.79	414.54	574.21	414.49	829.41	420.65	835.90	420.66	714.95	353.87	714.95	353.87	0	1697	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.64	22.09	575.71	43.62	20.67	574.96	0.00	0.22	-0.98	-0.12	0.21	-0.97	-1	
53085905	SMP	1	571.78	420.24	835.21	425.51	18.07	18.07	4.52	17.78	17.78	4.47	568.47	415.94	574.94	415.90	830.17	421.57	836.70	421.56	715.00	353.96	715.00	353.96	0	1580	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.48	21.77	575.61	43.75	20.45	574.36	0.00	0.22	-0.97	-0.12	0.22	-0.97	-1	
53094150	SMP	1	572.39	421.84	835.82	426.88	17.99	17.99	4.51	17.59	17.59	4.45	569.13	417.44	575.64	417.49	830.90	422.70	837.38	422.82	716.15	352.69	716.15	352.69	0	2030	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.32	21.42	575.53	43.91	20.18	574.38	0.00	0.23	-0.97	-0.11	0.23	-0.97	-1	
53102618	SMP	1	573.14	422.62	836.59	427.22	18.04	18.04	4.51	17.53	17.53	4.44	569.83	418.36	576.26	418.34	831.61	422.99	838.05	423.26	715.90	353.61	715.90	353.61	0	1727	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.17	21.21	575.45	44.07	20.09	574.40	0.00	0.22	-0.98	-0.12	0.22	-0.97	-1	
53110915	SMP	1	573.68	424.07	837.32	428.22	18.10	18.10	4.51	17.69	17.69	4.43	570.38	419.59	576.90	419.60	832.28	424.09	838.81	424.37	716.35	353.00	716.35	353.00	0	1644	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.02	20.91	574.83	44.18	19.83	573.86	0.00	0.23	-0.97	-0.12	0.22	-0.97	-1	
53119272	SMP	1	574.31	425.46	837.92	429.34	18.20	18.20	4.52	17.81	17.81	4.44	571.00	421.25	577.47	421.26	832.80	425.19	839.34	425.48	714.80	354.57	714.80	354.57	0	2267	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-14.89	20.53	574.83	44.27	19.56	573.38	0.00	0.22	-0.98	-0.12	0.22	-0.97	-1	
53127541	SMP	1	574.81	462.45	838.50	465.83	17.26	17.26	4.48	17.57	17.57	4.43	571.47	458.13	578.01	458.13	833.43	461.85	839.95	462.00	714.57	356.41	714.57	356.41	0	2024	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-14.76	12.18	574.28	44.37	11.29	572.96	0.00	0.24	-0.97	-0.12	0.23	-0.97	-1	
53144288	SMP	1	576.40	430.13	839.71	433.06	18.59	18.59	4.50	17.44	17.44	4.41	572.85	424.95	579.43	424.96	834.41	427.88	841.06	428.25	712.06	241.31	712.06	241.31	0	1957	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-14.43	19.66	573.79	44.54	18.90	572.02	-0.01	0.27	-0.96	-0.12	0.27	-0.95	-1	
53152678	SMP	1	576.76	431.33	840.26	433.78	17.39	17.39	4.47	18.10	18.10	4.43	573.25	425.64	579.91	425.47	834.66	428.46	841.26	428.61	706.59	194.36	706.59	194.36	0	2000	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-14.30	19.49	572.79	44.57	18.78	571.74	-0.01	0.30	-0.95	-0.14	0.28	-0.95	-1	
53160977	SMP	1	577.02	432.98	840.31	435.17	17.65	17.65	4.45	17.72	17.72	4.42	573.64	426.99	580.19	427.00	834.74	429.40	841.54	429.56	707.71	158.95	707.71	158.95	0	2783	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-14.22	19.15	572.47	44.50	18.53	570.38	-0.01	0.31	-0.95	-0.13	0.31	-0.94	-1	
53169303	SMP	1	577.36	434.09	840.55	435.96	17.39	17.39	4.43	17.35	17.35	4.40	573.77	428.12	580.47	428.12	834.84	430.32	841.75	430.36	702.31	159.46	702.31	159.46	0	1784	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-14.15	18.87	571.62	44.40	18.28	568.61	-0.02	0.31	-0.95	-0.13	0.30	-0.94	-1	
