Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	H POS X [mm]	H POS Y [mm]	H POS Z [mm]	H ROT X [°]	H ROT Y [°]	H ROT Z [°]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
229205557	SMP	1	570.25	413.90	841.06	424.73	19.13	19.13	4.53	18.26	18.26	4.35	565.49	410.36	572.43	410.42	833.93	421.35	841.26	421.54	554.95	484.44	554.95	484.44	0	2476	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.64	22.36	559.00	42.55	19.49	546.82	-0.06	0.18	-0.98	-0.20	0.18	-0.96	-1	
229213615	SMP	1	570.25	413.69	840.99	424.62	18.62	18.62	4.53	18.41	18.41	4.35	565.40	410.27	572.37	410.34	833.89	421.30	841.16	421.48	554.54	486.13	554.54	486.13	0	2483	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.64	22.36	558.53	42.47	19.47	546.02	-0.06	0.17	-0.98	-0.20	0.17	-0.97	-1	
229221961	SMP	1	570.14	413.66	840.86	424.68	18.33	18.33	4.51	18.14	18.14	4.35	565.39	410.17	572.34	410.24	833.84	421.20	841.11	421.38	555.07	486.15	555.07	486.15	0	2090	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.63	22.36	558.12	42.40	19.47	545.31	-0.06	0.17	-0.98	-0.19	0.18	-0.96	-1	
229230319	SMP	1	570.16	413.67	840.87	424.73	18.57	18.57	4.51	18.37	18.37	4.35	565.36	410.25	572.33	410.31	833.84	421.28	841.08	421.44	554.07	487.04	554.07	487.04	0	1638	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.63	22.33	557.76	42.39	19.45	545.23	-0.06	0.17	-0.98	-0.19	0.18	-0.96	-1	
229238593	SMP	1	570.08	413.58	840.83	424.62	18.93	18.93	4.52	18.23	18.23	4.34	565.37	410.19	572.32	410.22	833.81	421.18	841.08	421.38	554.55	488.02	554.55	488.02	0	1911	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.62	22.34	557.44	42.34	19.45	544.61	-0.06	0.17	-0.98	-0.19	0.18	-0.97	-1	
229246960	SMP	1	570.17	413.46	840.86	424.63	18.52	18.52	4.51	18.16	18.16	4.33	565.39	410.09	572.33	410.12	833.80	421.15	841.07	421.32	553.78	489.50	553.78	489.50	0	3026	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.61	22.35	557.15	42.30	19.44	544.06	-0.06	0.17	-0.98	-0.19	0.18	-0.96	-1	
229255337	SMP	1	570.17	413.37	840.75	424.40	18.44	18.44	4.50	18.25	18.25	4.33	565.38	409.78	572.34	409.97	833.81	420.98	841.08	421.22	554.27	490.50	554.27	490.50	0	2303	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.60	22.39	556.89	42.26	19.45	543.56	-0.06	0.17	-0.98	-0.19	0.18	-0.97	-1	
229263689	SMP	1	570.03	413.49	840.80	424.47	18.92	18.92	4.51	18.07	18.07	4.32	565.42	409.97	572.32	410.00	833.81	421.00	841.01	421.29	554.99	490.77	554.99	490.77	0	1826	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.59	22.35	556.67	42.26	19.44	543.69	-0.05	0.17	-0.98	-0.19	0.18	-0.97	-1	
229271954	SMP	1	569.76	414.14	840.40	425.01	18.39	18.39	4.50	18.12	18.12	4.31	565.34	410.18	572.28	410.21	833.75	421.10	840.87	421.41	564.07	474.13	564.07	474.13	0	1673	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.60	22.30	556.47	42.25	19.42	543.80	-0.04	0.20	-0.98	-0.18	0.20	-0.96	-1	
229280981	SMP	1	569.74	414.20	840.21	425.14	18.85	18.85	4.51	18.20	18.20	4.31	565.30	410.25	572.15	410.32	833.69	421.14	840.71	421.42	571.34	458.90	571.34	458.90	0	2035	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.63	22.29	556.85	42.28	19.44	544.45	-0.04	0.20	-0.98	-0.17	0.20	-0.96	-1	
