Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	H POS X [mm]	H POS Y [mm]	H POS Z [mm]	H ROT X [°]	H ROT Y [°]	H ROT Z [°]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
106275771	SMP	1	567.01	454.04	846.75	455.10	20.10	20.10	4.66	20.23	20.23	4.72	561.48	450.84	568.86	450.94	839.00	452.49	846.63	452.73	504.37	576.13	504.37	576.13	0	2427	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.91	12.99	539.99	42.51	12.44	532.28	-0.08	0.17	-0.98	-0.21	0.15	-0.97	-1	
106284150	SMP	1	566.73	453.89	846.47	455.20	19.40	19.40	4.64	20.54	20.54	4.72	561.32	450.71	568.55	450.85	838.85	452.51	846.43	452.67	504.37	576.85	504.37	576.85	0	1955	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-15.98	13.02	540.54	42.45	12.44	531.99	-0.08	0.17	-0.98	-0.21	0.15	-0.97	-1	
106292484	SMP	1	566.50	453.63	846.22	455.07	19.12	19.12	4.61	20.18	20.18	4.71	561.06	450.61	568.34	450.71	838.65	452.45	846.08	452.62	504.95	578.82	504.95	578.82	0	4268	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.03	13.05	540.47	42.42	12.46	532.30	-0.08	0.16	-0.98	-0.21	0.15	-0.97	-1	
106300877	SMP	1	566.20	453.66	845.89	455.23	20.07	20.07	4.63	20.74	20.74	4.73	560.62	450.47	568.01	450.55	838.44	452.40	845.89	452.60	505.76	576.35	505.76	576.35	0	2018	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.11	13.08	540.41	42.40	12.47	532.57	-0.08	0.17	-0.98	-0.20	0.16	-0.97	-1	
106309092	SMP	1	566.06	453.46	845.67	455.04	19.91	19.91	4.64	20.57	20.57	4.74	560.42	450.44	567.70	450.47	837.97	452.40	845.56	452.60	504.43	577.25	504.43	577.25	0	1676	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.16	13.09	540.36	42.29	12.47	532.25	-0.09	0.16	-0.98	-0.21	0.15	-0.97	-1	
106317467	SMP	1	565.63	453.32	845.38	454.85	20.42	20.42	4.66	19.99	19.99	4.72	560.23	450.24	567.50	450.19	837.82	452.24	845.34	452.41	505.69	576.95	505.69	576.95	0	1963	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.20	13.14	540.31	42.27	12.51	532.52	-0.08	0.17	-0.98	-0.21	0.15	-0.97	-1	
106325872	SMP	1	565.44	453.27	845.14	454.84	19.32	19.32	4.64	20.18	20.18	4.71	559.91	450.13	567.28	450.13	837.69	452.29	845.13	452.44	506.18	577.48	506.18	577.48	0	3301	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.25	13.16	540.27	42.25	12.51	532.77	-0.08	0.17	-0.98	-0.20	0.15	-0.97	-1	
106334243	SMP	1	565.10	453.24	844.99	454.93	19.49	19.49	4.62	19.64	19.64	4.68	559.57	449.92	567.01	450.05	837.55	452.33	844.96	452.47	507.17	577.22	507.17	577.22	0	1939	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.30	13.17	539.67	42.24	12.50	532.99	-0.08	0.17	-0.98	-0.21	0.15	-0.97	-1	
106342594	SMP	1	564.89	453.08	844.97	454.82	19.40	19.40	4.61	20.13	20.13	4.68	559.45	449.84	566.83	449.95	837.12	452.30	844.80	452.45	506.72	578.22	506.72	578.22	0	1819	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.33	13.19	539.70	42.10	12.49	532.06	-0.08	0.17	-0.98	-0.22	0.15	-0.97	-1	
106350874	SMP	1	564.92	452.94	844.80	455.01	19.28	19.28	4.59	20.09	20.09	4.67	559.40	449.83	566.70	449.94	837.04	452.34	844.69	452.49	505.75	578.76	505.75	578.76	0	2031	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-16.35	13.20	539.73	42.06	12.47	531.80	-0.08	0.16	-0.98	-0.21	0.15	-0.97	-1	
