Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	H POS X [mm]	H POS Y [mm]	H POS Z [mm]	H ROT X [°]	H ROT Y [°]	H ROT Z [°]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
188666350	SMP	1	579.09	463.08	855.84	466.19	21.00	21.00	4.89	22.26	22.26	5.23	575.76	459.43	582.95	459.39	850.85	462.35	857.72	462.36	750.53	472.58	750.53	472.58	0	2203	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.08	11.34	547.76	46.52	10.77	551.28	0.01	0.20	-0.98	-0.11	0.22	-0.97	-1	
188668566	SMP	1	578.77	463.88	855.03	466.59	21.16	21.16	4.92	22.00	22.00	5.24	575.42	459.62	582.52	459.57	850.40	462.42	857.34	462.51	757.09	432.54	757.09	432.54	0	3436	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.17	11.30	548.00	46.46	10.76	551.66	0.01	0.23	-0.97	-0.09	0.23	-0.97	-1	
188676360	SMP	1	577.95	464.09	854.60	467.16	19.28	19.28	4.86	22.15	22.15	5.25	575.10	459.73	582.31	459.66	850.00	462.51	856.95	462.60	783.90	382.72	783.90	382.72	0	1736	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.22	11.28	547.66	46.40	10.74	551.99	0.04	0.23	-0.97	-0.09	0.26	-0.96	-1	
188684694	SMP	1	577.89	463.99	854.46	466.92	21.36	21.36	4.89	21.35	21.35	5.23	574.70	459.61	581.95	459.53	849.80	462.44	856.68	462.45	772.03	381.48	772.03	381.48	0	1888	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.29	11.30	547.36	46.37	10.77	552.28	0.02	0.23	-0.97	-0.09	0.25	-0.96	-1	
188692954	SMP	1	577.98	463.64	854.59	466.40	20.29	20.29	4.88	21.68	21.68	5.23	574.50	459.46	581.64	459.36	849.65	462.26	856.60	462.19	754.86	403.79	754.86	403.79	0	1931	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.34	11.32	547.09	46.37	10.83	552.54	0.01	0.23	-0.97	-0.11	0.24	-0.97	-1	
188701328	SMP	1	577.38	463.44	854.46	466.21	20.91	20.91	4.89	21.14	21.14	5.20	574.34	459.21	581.49	459.03	849.65	461.87	856.54	462.00	773.02	393.77	773.02	393.77	0	1814	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.37	11.38	546.85	46.38	10.89	552.78	0.03	0.23	-0.97	-0.10	0.24	-0.97	-1	
188709687	SMP	1	576.92	463.31	854.40	466.03	20.86	20.86	4.90	20.46	20.46	5.15	574.11	458.91	581.32	458.82	849.52	461.57	856.50	461.87	781.56	388.45	781.56	388.45	0	1617	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.41	11.43	546.64	46.38	10.94	552.98	0.04	0.23	-0.97	-0.10	0.24	-0.96	-1	
188718065	SMP	1	576.97	462.91	854.29	465.75	20.90	20.90	4.91	21.77	21.77	5.17	573.86	458.49	581.11	458.43	849.51	461.38	856.52	461.40	779.51	386.56	779.51	386.56	0	1742	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.45	11.52	546.45	46.35	11.01	552.61	0.03	0.23	-0.97	-0.10	0.24	-0.96	-1	
188726317	SMP	1	576.76	462.78	854.24	465.76	21.00	21.00	4.92	21.75	21.75	5.18	573.76	458.53	581.01	458.46	849.50	461.45	856.49	461.55	785.41	391.66	785.41	391.66	0	1833	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.47	11.50	546.28	46.32	10.98	552.27	0.03	0.23	-0.97	-0.10	0.24	-0.97	-1	
188734695	SMP	1	576.85	462.94	854.74	465.94	21.11	21.11	4.94	21.36	21.36	5.17	573.73	458.57	580.98	458.50	849.57	461.53	856.56	461.71	773.60	388.32	773.60	388.32	0	1697	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.47	11.49	546.13	46.36	10.96	552.54	0.02	0.23	-0.97	-0.12	0.24	-0.96	-1	
188743049	SMP	1	576.76	462.91	854.74	465.74	20.95	20.95	4.94	20.77	20.77	5.14	573.75	458.53	581.01	458.46	849.78	461.59	856.69	461.74	780.54	392.50	780.54	392.50	0	1794	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.45	11.49	545.44	46.41	10.95	552.77	0.03	0.23	-0.97	-0.11	0.23	-0.97	-1	
188751445	SMP	1	576.85	463.31	854.66	466.19	20.09	20.09	4.90	21.26	21.26	5.13	573.74	458.83	581.04	458.74	849.93	461.99	856.80	462.05	784.33	389.55	784.33	389.55	0	1932	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.43	11.41	544.82	46.51	10.89	553.53	0.03	0.24	-0.97	-0.10	0.24	-0.97	-1	
188759698	SMP	1	577.00	463.63	854.91	466.46	20.29	20.29	4.88	21.56	21.56	5.14	573.88	459.28	581.18	459.07	850.08	462.35	857.10	462.41	784.33	390.70	784.33	390.70	0	1695	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.39	11.32	544.27	46.52	10.80	553.10	0.03	0.23	-0.97	-0.10	0.23	-0.97	-1	
188768063	SMP	1	577.06	464.14	854.96	467.04	20.25	20.25	4.86	21.41	21.41	5.14	573.96	459.79	581.28	459.74	850.14	462.79	857.28	462.92	784.53	392.70	784.53	392.70	0	1754	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.36	11.18	543.79	46.46	10.68	552.15	0.03	0.23	-0.97	-0.10	0.24	-0.97	-1	
188776444	SMP	1	577.09	464.96	855.08	467.70	21.18	21.18	4.89	21.15	21.15	5.13	574.13	460.61	581.33	460.57	850.39	463.47	857.39	463.62	786.68	394.89	786.68	394.89	0	1832	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-13.34	11.01	543.92	46.48	10.52	551.87	0.03	0.23	-0.97	-0.09	0.23	-0.97	-1	
