Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	H POS X [mm]	H POS Y [mm]	H POS Z [mm]	H ROT X [°]	H ROT Y [°]	H ROT Z [°]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
222947781	SMP	1	549.94	431.02	829.41	435.29	19.35	19.35	4.65	19.57	19.57	4.65	546.43	427.67	553.67	427.60	824.23	432.12	831.43	432.08	735.39	523.38	735.39	523.38	0	4259	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-19.19	17.99	541.74	40.23	17.11	543.97	0.02	0.17	-0.99	-0.10	0.17	-0.98	-1	
222955950	SMP	1	549.85	432.16	829.15	436.44	18.21	18.21	4.58	20.23	20.23	4.67	546.33	428.04	553.57	427.99	823.99	432.45	831.19	432.59	736.79	448.49	736.79	448.49	0	2038	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-19.22	17.92	542.10	40.19	17.02	544.05	0.02	0.21	-0.98	-0.10	0.21	-0.97	-1	
222964299	SMP	1	549.80	433.23	828.93	437.39	20.09	20.09	4.61	19.38	19.38	4.66	546.25	428.51	553.54	428.45	823.68	432.76	830.87	432.98	737.14	372.47	737.14	372.47	0	1988	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-19.22	17.81	541.85	40.13	16.95	544.12	0.02	0.24	-0.97	-0.10	0.24	-0.97	-1	
222972676	SMP	1	549.70	433.97	828.87	438.38	19.32	19.32	4.60	19.98	19.98	4.67	546.23	428.95	553.58	428.91	823.39	433.43	830.73	433.59	738.59	342.83	738.59	342.83	0	1975	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-19.21	17.71	541.63	40.04	16.80	543.63	0.02	0.25	-0.97	-0.11	0.25	-0.96	-1	
222981058	SMP	1	549.90	434.71	829.20	438.78	19.21	19.21	4.58	19.27	19.27	4.65	546.28	429.23	553.65	429.01	823.35	433.68	830.68	433.90	732.70	306.21	732.70	306.21	0	1695	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-19.20	17.66	541.44	40.00	16.72	543.19	0.01	0.28	-0.96	-0.13	0.26	-0.96	-1	
222989305	SMP	1	550.19	435.11	829.22	439.40	19.31	19.31	4.57	19.36	19.36	4.63	546.26	429.45	553.63	429.37	823.38	434.01	830.73	434.11	724.43	280.17	724.43	280.17	0	1889	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-19.19	17.59	541.26	39.98	16.65	542.80	0.00	0.28	-0.96	-0.12	0.28	-0.95	-1	
222997676	SMP	1	549.54	435.01	828.60	439.59	19.36	19.36	4.57	19.30	19.30	4.62	546.20	429.63	553.54	429.58	823.43	434.30	830.78	434.61	743.73	297.44	743.73	297.44	0	1808	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-19.20	17.55	541.11	39.97	16.56	542.45	0.02	0.27	-0.96	-0.09	0.27	-0.96	-1	
223006080	SMP	1	549.31	435.03	829.05	439.69	18.66	18.66	4.53	20.16	20.16	4.64	546.12	429.67	553.46	429.62	823.45	434.46	830.91	434.73	743.18	300.15	743.18	300.15	0	2275	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-19.22	17.54	540.97	39.92	16.50	541.59	0.03	0.27	-0.96	-0.11	0.26	-0.96	-1	
223014415	SMP	1	549.84	435.48	829.03	440.36	20.00	20.00	4.56	20.19	20.19	4.66	545.95	430.13	553.47	429.91	823.56	435.08	831.00	435.29	735.82	296.58	735.82	296.58	0	1611	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-19.21	17.43	540.29	39.88	16.35	540.82	0.00	0.27	-0.96	-0.10	0.27	-0.96	-1	
223022654	SMP	1	549.43	436.10	829.49	440.81	18.76	18.76	4.53	19.42	19.42	4.64	545.98	430.59	553.45	430.59	823.80	435.63	831.23	435.87	737.77	298.40	737.77	298.40	0	3067	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	-19.19	17.29	539.69	39.88	16.21	540.14	0.02	0.27	-0.96	-0.12	0.26	-0.96	-1	
