Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	Latency	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	H POS X [mm]	H POS Y [mm]	H POS Z [mm]	H ROT X [°]	H ROT Y [°]	H ROT Z [°]	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
117454661	SMP	1	692.97	388.07	956.43	389.11	19.74	19.74	4.95	19.36	19.36	4.84	690.04	385.51	696.49	385.49	951.99	386.55	958.39	386.52	768.39	548.24	768.39	548.24	0	2878	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	12.03	28.56	573.49	71.47	28.44	575.85	-0.03	0.12	-0.99	-0.14	0.13	-0.98	-1	
117463985	SMP	1	692.55	388.14	956.09	389.34	19.70	19.70	4.94	18.65	18.65	4.81	689.57	385.50	696.05	385.50	951.59	386.61	957.99	386.61	768.93	547.33	768.93	547.33	0	1983	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	11.93	28.56	573.64	71.35	28.41	575.63	-0.03	0.13	-0.99	-0.14	0.14	-0.98	-1	
117471368	SMP	1	692.13	388.17	955.63	389.33	19.43	19.43	4.92	19.21	19.21	4.82	689.11	385.47	695.58	385.54	951.31	386.67	957.61	386.59	770.54	546.67	770.54	546.67	0	2385	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	11.83	28.57	573.77	71.32	28.42	575.99	-0.03	0.13	-0.99	-0.14	0.14	-0.98	-1	
117479632	SMP	1	691.68	388.40	955.28	389.62	19.65	19.65	4.92	18.68	18.68	4.79	688.75	385.69	695.16	385.71	950.76	386.89	957.17	386.93	770.71	545.52	770.71	545.52	0	2127	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	11.74	28.53	573.89	71.18	28.35	575.76	-0.03	0.13	-0.99	-0.14	0.14	-0.98	-1	
117488001	SMP	1	691.20	388.42	954.82	389.54	19.40	19.40	4.90	19.29	19.29	4.81	688.19	385.74	694.72	385.70	950.49	386.97	956.89	386.98	773.18	546.73	773.18	546.73	0	1736	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	11.62	28.50	573.43	71.09	28.32	575.55	-0.03	0.13	-0.99	-0.13	0.13	-0.98	-1	
117496380	SMP	1	691.44	389.15	954.90	390.37	19.40	19.40	4.89	19.03	19.03	4.80	688.11	386.16	694.61	386.06	950.30	387.25	956.67	387.29	767.30	528.25	767.30	528.25	0	1922	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	11.60	28.42	573.59	71.09	28.28	575.92	-0.05	0.15	-0.99	-0.15	0.16	-0.98	-1	
117504623	SMP	1	691.65	389.93	955.02	391.37	19.48	19.48	4.88	18.99	18.99	4.80	688.10	386.48	694.60	386.54	949.90	387.77	956.36	387.80	731.86	447.06	731.86	447.06	0	1987	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	11.60	28.34	573.73	70.98	28.15	575.70	-0.06	0.17	-0.98	-0.17	0.19	-0.97	-1	
117513006	SMP	1	692.05	390.79	955.37	392.02	19.52	19.52	4.88	18.52	18.52	4.77	688.12	387.07	694.62	387.00	949.66	388.17	956.26	388.34	657.06	414.61	657.06	414.61	0	2831	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	11.61	28.23	573.85	70.85	28.00	574.94	-0.08	0.18	-0.98	-0.19	0.20	-0.96	-1	
117521386	SMP	1	692.10	391.34	954.99	392.78	20.47	20.47	4.92	18.48	18.48	4.75	688.06	387.38	694.54	387.44	949.46	388.47	956.09	388.66	659.89	377.10	659.89	377.10	0	1654	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	11.59	28.15	573.96	70.66	27.87	573.71	-0.08	0.19	-0.98	-0.18	0.22	-0.96	-1	
117529768	SMP	1	691.58	391.79	954.81	392.86	19.57	19.57	4.91	18.54	18.54	4.73	687.76	387.54	694.26	387.54	949.30	388.71	955.84	388.84	667.80	363.16	667.80	363.16	0	1990	0	0	3	1	1	0.00	0.00	0.00	0.00	0.00	0.00	11.53	28.12	574.06	70.55	27.80	573.18	-0.07	0.21	-0.98	-0.18	0.21	-0.96	-1	
